"ID","Key","Value"
"17939","Junction_Type","And"
"17940","Junction_Type","And"
"14293","Access_Type","Write"
"14509","Access_Type","Write"
"8078","Directed","false"
"8079","Directed","false"
"8082","Directed","false"
"8083","Directed","false"
"14512","Access_Type","Read"
"14516","Directed","false"
"8076","Directed","false"
"14520","Directed","false"
"14224","Directed","false"
"8077","Directed","false"
"8081","Directed","false"
"14521","Directed","false"
"14515","Directed","false"
"14510","Access_Type","Write"
"14310","Directed","false"
"14508","Access_Type","Write"
"8080","Directed","false"
"14164","Directed","false"
"14311","Directed","false"
"8439","Directed","false"
"10223","Directed","false"
"17864","Directed","false"
"8235","Directed","false"
"8366","Directed","false"
"7107","Directed","false"
"17863","Directed","false"
"7259","Directed","false"
"17824","Directed","false"
"9807","Directed","false"
"10287","Directed","false"
"8241","Directed","false"
"10184","Directed","false"
"8379","Directed","false"
"8264","Directed","false"
"7106","Directed","false"
"8440","Directed","false"
"10164","Directed","false"
"8412","Directed","false"
"17822","Directed","false"
"10252","Directed","false"
"8408","Directed","false"
"17859","Directed","false"
"17857","Directed","false"
"7150","Directed","false"
"7132","Directed","false"
"8410","Directed","false"
"17858","Directed","false"
"17865","Directed","false"
"7174","Directed","false"
"8213","Directed","false"
"17862","Directed","false"
"9749","Directed","false"
"9748","Directed","false"
"8455","Directed","false"
"13747","Access_Type","Write"
"6208","Access_Type","Write"
"14574","Access_Type","Write"
"10942","Access_Type","Write"
"10945","Access_Type","Write"
"14130","Access_Type","Read"
"14342","Directed","false"
"6593","Access_Type","Write"
"10941","Access_Type","Write"
"6211","Access_Type","Read"
"14126","Access_Type","Read"
"14041","Access_Type","Write"
"14131","Access_Type","Read"
"14581","Access_Type","Write"
"10957","Access_Type","Write"
"10927","Access_Type","Write"
"14042","Access_Type","Write"
"6209","Access_Type","Read"
"14129","Access_Type","Read"
"8085","Directed","false"
"14582","Access_Type","Read"
"6594","Access_Type","Read"
"10928","Access_Type","Write"
"14127","Access_Type","Write"
"18168","Access_Type","Write"
"6798","Access_Type","Write"
"14575","Access_Type","Write"
"14123","Access_Type","Write"
"10944","Directed","false"
"6596","Access_Type","Read"
"18581","Directed","false"
"6590","Access_Type","Write"
"10946","Access_Type","Write"
"18582","Directed","false"
"10933","Access_Type","Write"
"6205","Access_Type","Read"
"6591","Access_Type","Write"
"10899","Access_Type","Write"
"6796","Access_Type","Write"
"10961","Access_Type","Write"
"17641","Directed","false"
"10921","Access_Type","Write"
"10925","Access_Type","Write"
"18483","Directed","false"
"6595","Access_Type","Write"
"10987","Access_Type","Write"
"10959","Access_Type","Write"
"10906","Access_Type","Read"
"6795","Access_Type","Write"
"10901","Access_Type","Read"
"10931","Access_Type","Write"
"10898","Access_Type","Write"
"10935","Access_Type","Write"
"10929","Access_Type","Write"
"14091","Directed","false"
"10951","Access_Type","Write"
"14040","Access_Type","Write"
"14343","Directed","false"
"14294","Access_Type","Write"
"10943","Access_Type","Write"
"6206","Access_Type","Write"
"6207","Access_Type","Write"
"18169","Access_Type","Read"
"10958","Access_Type","Write"
"10923","Access_Type","Write"
"10955","Access_Type","Write"
"14128","Access_Type","Write"
"18580","Directed","false"
"14028","Access_Type","Write"
"10976","Access_Type","Write"
"10904","Access_Type","Write"
"8084","Directed","false"
"6797","Access_Type","Read"
"14561","Access_Type","Write"
"14300","Access_Type","Write"
"14043","Access_Type","Write"
"14586","Directed","false"
"10905","Access_Type","Read"
"10915","Access_Type","Write"
"18697","Directed","false"
"14578","Access_Type","Read"
"10922","Access_Type","Write"
"10930","Access_Type","Write"
"14090","Directed","false"
"10937","Access_Type","Write"
"10947","Access_Type","Write"
"10936","Access_Type","Write"
"18179","Access_Type","Write"
"10913","Access_Type","Write"
"8087","Directed","false"
"10952","Access_Type","Write"
"8086","Directed","false"
"10985","Access_Type","Write"
"10966","Access_Type","Write"
"17449","Directed","false"
"10907","Access_Type","Write"
"13748","Access_Type","Read"
"6210","Access_Type","Read"
"14088","Directed","false"
"14583","Access_Type","Write"
"6592","Access_Type","Read"
"17603","Directed","false"
"6204","Access_Type","Write"
"10950","Access_Type","Write"
"10960","Access_Type","Write"
"14089","Directed","false"
"6567","Access_Type","Read"
"10908","Access_Type","Write"
"8539","Directed","false"
"8537","Directed","false"
"8538","Directed","false"
"8540","Directed","false"
"53b5e7c3","Directed","false"
"a12e2212","Directed","false"